Passengerid,Age,Fare,Sex,sibsp,Parch,Pclass,2urvived,Embarked_1.0,Embarked_2.0,AgeGroup_Child,AgeGroup_Senior,AgeGroup_Teen,FamilySize,IsAlone,Fare_log
1,22.0,7.25,0,1,0,3,0,False,True,False,False,False,2,0,2.1102132003465894
2,38.0,71.2833,1,1,0,1,1,False,False,False,False,False,2,0,4.2805931204649
3,26.0,7.925,1,0,0,3,1,False,True,False,False,False,1,1,2.188856327665703
4,35.0,53.1,1,1,0,1,1,False,True,False,False,False,2,0,3.9908341858524357
5,35.0,8.05,0,0,0,3,0,False,True,False,False,False,1,1,2.2027647577118348
6,28.0,8.4583,0,0,0,3,0,True,False,False,False,False,1,1,2.246892662898172
7,54.0,51.8625,0,0,0,1,0,False,True,False,False,False,1,1,3.967694202798607
8,2.0,21.075,0,3,1,3,0,False,True,True,False,False,5,0,3.0944457464900235
9,27.0,11.1333,1,0,2,3,1,False,True,False,False,False,3,0,2.495953738718064
10,14.0,30.0708,1,1,0,2,1,False,False,False,False,True,2,0,3.436268471383741
11,4.0,16.7,1,1,1,3,1,False,True,True,False,False,3,0,2.8735646395797834
12,58.0,26.55,1,0,0,1,1,False,True,False,False,False,1,1,3.3160025355989236
13,20.0,8.05,0,0,0,3,0,False,True,False,False,False,1,1,2.2027647577118348
14,39.0,31.275,0,1,5,3,0,False,True,False,False,False,7,0,3.4742929367327062
15,14.0,7.8542,1,0,0,3,0,False,True,False,False,True,1,1,2.180891922715322
16,55.0,16.0,1,0,0,2,1,False,True,False,False,False,1,1,2.833213344056216
17,2.0,29.125,0,4,1,3,0,True,False,True,False,False,6,0,3.405355391810819
18,28.0,13.0,0,0,0,2,1,False,True,False,False,False,1,1,2.6390573296152584
19,31.0,18.0,1,1,0,3,0,False,True,False,False,False,2,0,2.9444389791664403
20,28.0,7.225,1,0,0,3,1,False,False,False,False,False,1,1,2.1071782966514356
21,35.0,26.0,0,0,0,2,0,False,True,False,False,False,1,1,3.295836866004329
22,34.0,13.0,0,0,0,2,1,False,True,False,False,False,1,1,2.6390573296152584
23,15.0,8.0292,1,0,0,3,1,True,False,False,False,True,1,1,2.2004637699272855
24,28.0,35.5,0,0,0,1,1,False,True,False,False,False,1,1,3.597312260588446
25,8.0,21.075,1,3,1,3,0,False,True,True,False,False,5,0,3.0944457464900235
26,38.0,31.3875,1,1,5,3,1,False,True,False,False,False,7,0,3.4777725458882283
27,28.0,7.225,0,0,0,3,0,False,False,False,False,False,1,1,2.1071782966514356
28,19.0,263.0,0,3,2,1,0,False,True,False,False,False,6,0,5.575949103146316
29,28.0,7.8792,1,0,0,3,1,True,False,False,False,False,1,1,2.1837114628556327
30,28.0,7.8958,0,0,0,3,0,False,True,False,False,False,1,1,2.1855792552411137
31,40.0,27.7208,0,0,0,1,0,False,False,False,False,False,1,1,3.357621598945279
32,28.0,146.5208,1,1,0,1,1,False,False,False,False,False,2,0,4.993969182787072
33,28.0,7.75,1,0,0,3,1,True,False,False,False,False,1,1,2.169053700369523
34,66.0,10.5,0,0,0,2,0,False,True,False,True,False,1,1,2.4423470353692043
35,28.0,82.1708,0,1,0,1,0,False,False,False,False,False,2,0,4.420896324687287
